"WaterYear","OctDec","OctJan","JanMar","FebMar","OctDec_lag3","OctJan_lag3","JanMar_lag3","FebMar_lag3","Int_P1_Current","Int_P1_Lag3","Int_P2_Current","Int_P2_Lag3","Int_P3_Current","Int_P3_Lag3","Int_P4_Current","Int_P4_Lag3","Watershed"
1931,-2.42666666666667,-2.64,-3.75666666666667,-3.995,0.436666666666667,0.1,-1.05666666666667,-1.13,9.11617777777778,-0.461411111111111,9.69453333333333,-0.493433333333333,10.5468,-0.113,9.9176,-0.105666666666667,"KANOFF_CREEK"
1932,-1.15333333333333,-0.455,0.54,-0.01,-1.57666666666667,-1.695,-2.47333333333333,-2.685,-0.6228,3.89962222222222,0.0115333333333333,4.23335,0.00455,4.551075,-0.2457,4.1923,"KANOFF_CREEK"
1933,-3.10333333333333,-2.9825,-2.96333333333333,-3.135,-2.44666666666667,-2.4475,-2.46666666666667,-2.475,9.19621111111111,6.03511111111111,9.72895,6.0555,9.3501375,6.0575625,8.83814166666667,6.03716666666667,"KANOFF_CREEK"
1934,-1.86,-2.045,-2.64666666666667,-2.67,-2.42666666666667,-2.64,-3.75666666666667,-3.995,4.9228,9.11617777777778,4.9662,9.69453333333333,5.46015,10.5468,5.41243333333333,9.9176,"KANOFF_CREEK"
1935,-2.32666666666667,-2.075,-1.54666666666667,-1.66,-1.15333333333333,-0.455,0.54,-0.01,3.59857777777778,-0.6228,3.86226666666667,0.0115333333333333,3.4445,0.00455,3.20933333333333,-0.2457,"KANOFF_CREEK"
1936,-0.45,-0.6875,0.383333333333333,1.275,-3.10333333333333,-2.9825,-2.96333333333333,-3.135,-0.1725,9.19621111111111,-0.57375,9.72895,-0.8765625,9.3501375,-0.263541666666667,8.83814166666667,"KANOFF_CREEK"
1937,-1.64333333333333,-1.645,-0.01,0.81,-1.86,-2.045,-2.64666666666667,-2.67,0.0164333333333333,4.9228,-1.3311,4.9662,-1.33245,5.46015,0.01645,5.41243333333333,"KANOFF_CREEK"
1938,0.23,0.1025,1.75333333333333,2.77,-2.32666666666667,-2.075,-1.54666666666667,-1.66,0.403266666666667,3.59857777777778,0.6371,3.86226666666667,0.283925,3.4445,0.179716666666667,3.20933333333333,"KANOFF_CREEK"
1939,-0.336666666666667,-0.795,-2.53,-2.71,-0.45,-0.6875,0.383333333333333,1.275,0.851766666666667,-0.1725,0.912366666666667,-0.57375,2.15445,-0.8765625,2.01135,-0.263541666666667,"KANOFF_CREEK"
1940,-3.15666666666667,-2.97,-0.14,0.995,-1.64333333333333,-1.645,-0.01,0.81,0.441933333333333,0.0164333333333333,-3.14088333333333,-1.3311,-2.95515,-1.33245,0.4158,0.01645,"KANOFF_CREEK"
1941,-0.12,0.3325,2.11333333333333,2.325,0.23,0.1025,1.75333333333333,2.77,-0.2536,0.403266666666667,-0.279,0.6371,0.7730625,0.283925,0.702683333333333,0.179716666666667,"KANOFF_CREEK"
1942,2.30333333333333,2.4025,2.41333333333333,2.27,-0.336666666666667,-0.795,-2.53,-2.71,5.55871111111111,0.851766666666667,5.22856666666667,0.912366666666667,5.453675,2.15445,5.79803333333333,2.01135,"KANOFF_CREEK"
1943,2.92,3.04,2.66666666666667,2.3,-3.15666666666667,-2.97,-0.14,0.995,7.78666666666667,0.441933333333333,6.716,-3.14088333333333,6.992,-2.95515,8.10666666666667,0.4158,"KANOFF_CREEK"
1944,-1.87666666666667,-2.1075,-2.4,-2.2,-0.12,0.3325,2.11333333333333,2.325,4.504,-0.2536,4.12866666666667,-0.279,4.6365,0.7730625,5.058,0.702683333333333,"KANOFF_CREEK"
1945,1.22,1.0775,0.823333333333333,0.91,2.30333333333333,2.4025,2.41333333333333,2.27,1.00446666666667,5.55871111111111,1.1102,5.22856666666667,0.980525,5.453675,0.887141666666667,5.79803333333333,"KANOFF_CREEK"
1946,1.40666666666667,1.3925,0.176666666666667,-0.41,2.92,3.04,2.66666666666667,2.3,0.248511111111111,7.78666666666667,-0.576733333333333,6.716,-0.570925,6.992,0.246008333333333,8.10666666666667,"KANOFF_CREEK"
1947,-1.87333333333333,-2.07,-2.82666666666667,-2.91,-1.87666666666667,-2.1075,-2.4,-2.2,5.29528888888889,4.504,5.4514,4.12866666666667,6.0237,4.6365,5.8512,5.058,"KANOFF_CREEK"
1948,-1.37,-1.6375,-2.75333333333333,-2.91,1.22,1.0775,0.823333333333333,0.91,3.77206666666667,1.00446666666667,3.9867,1.1102,4.765125,0.980525,4.50858333333333,0.887141666666667,"KANOFF_CREEK"
1949,-1.05666666666667,-1.2425,-1.44666666666667,-1.27,1.40666666666667,1.3925,0.176666666666667,-0.41,1.52864444444444,0.248511111111111,1.34196666666667,-0.576733333333333,1.577975,-0.570925,1.79748333333333,0.246008333333333,"KANOFF_CREEK"
1950,-2.44666666666667,-2.275,-1.95333333333333,-2.05,-1.87333333333333,-2.07,-2.82666666666667,-2.91,4.77915555555556,5.29528888888889,5.01566666666667,5.4514,4.66375,6.0237,4.44383333333333,5.8512,"KANOFF_CREEK"
1951,1.99,2.1975,2.08666666666667,1.72,-1.37,-1.6375,-2.75333333333333,-2.91,4.15246666666667,3.77206666666667,3.4228,3.9867,3.7797,4.765125,4.58545,4.50858333333333,"KANOFF_CREEK"
1952,1.41666666666667,2.065,3.57666666666667,3.36,-1.05666666666667,-1.2425,-1.44666666666667,-1.27,5.06694444444445,1.52864444444444,4.76,1.34196666666667,6.9384,1.577975,7.38581666666667,1.79748333333333,"KANOFF_CREEK"
1953,1.43333333333333,1.64,0.6,-0.23,-2.44666666666667,-2.275,-1.95333333333333,-2.05,0.86,4.77915555555556,-0.329666666666667,5.01566666666667,-0.3772,4.66375,0.984,4.44383333333333,"KANOFF_CREEK"
1954,-0.00333333333333337,-0.4825,-1.81333333333333,-1.76,1.99,2.1975,2.08666666666667,1.72,0.00604444444444452,4.15246666666667,0.00586666666666674,3.4228,0.8492,3.7797,0.874933333333333,4.58545,"KANOFF_CREEK"
1955,-0.86,-0.6,-0.683333333333333,-1.115,1.41666666666667,2.065,3.57666666666667,3.36,0.587666666666667,5.06694444444445,0.9589,4.76,0.669,6.9384,0.41,7.38581666666667,"KANOFF_CREEK"
1956,0.273333333333333,1.365,3.67666666666667,3.195,1.43333333333333,1.64,0.6,-0.23,1.00495555555556,0.86,0.8733,-0.329666666666667,4.361175,-0.3772,5.01865,0.984,"KANOFF_CREEK"
1957,-0.7,-1.2025,-2.58,-2.515,-0.00333333333333337,-0.4825,-1.81333333333333,-1.76,1.806,0.00604444444444452,1.7605,0.00586666666666674,3.0242875,0.8492,3.10245,0.874933333333333,"KANOFF_CREEK"
1958,3.18333333333333,2.9975,3.90666666666667,4.64,-0.86,-0.6,-0.683333333333333,-1.115,12.4362222222222,0.587666666666667,14.7706666666667,0.9589,13.9084,0.669,11.7102333333333,0.41,"KANOFF_CREEK"
1959,1.98666666666667,0.7775,-2.62666666666667,-2.515,0.273333333333333,1.365,3.67666666666667,3.195,-5.21831111111111,1.00495555555556,-4.99646666666667,0.8733,-1.9554125,4.361175,-2.04223333333333,5.01865,"KANOFF_CREEK"
1960,0.746666666666667,0.00749999999999995,-2.1,-2.045,-0.7,-1.2025,-2.58,-2.515,-1.568,1.806,-1.52693333333333,1.7605,-0.0153374999999999,3.0242875,-0.0157499999999999,3.10245,"KANOFF_CREEK"
1961,-1.72333333333333,-1.85,-2.51666666666667,-2.66,3.18333333333333,2.9975,3.90666666666667,4.64,4.33705555555556,12.4362222222222,4.58406666666667,14.7706666666667,4.921,13.9084,4.65583333333333,11.7102333333333,"KANOFF_CREEK"
1962,-1.66,-1.8025,-0.49,0.38,1.98666666666667,0.7775,-2.62666666666667,-2.515,0.8134,-5.21831111111111,-0.6308,-4.99646666666667,-0.68495,-1.9554125,0.883225,-2.04223333333333,"KANOFF_CREEK"
1963,4.16333333333333,3.77,2.70333333333333,2.76,0.746666666666667,0.00749999999999995,-2.1,-2.045,11.2548777777778,-1.568,11.4908,-1.52693333333333,10.4052,-0.0153374999999999,10.1915666666667,-0.0157499999999999,"KANOFF_CREEK"
1964,2.65333333333333,2.4075,-0.716666666666667,-1.91,-1.72333333333333,-1.85,-2.51666666666667,-2.66,-1.90155555555556,4.33705555555556,-5.06786666666667,4.58406666666667,-4.598325,4.921,-1.725375,4.65583333333333,"KANOFF_CREEK"
1965,-0.11,0.4125,0.483333333333333,-0.265,-1.66,-1.8025,-0.49,0.38,-0.0531666666666667,0.8134,0.02915,-0.6308,-0.1093125,-0.68495,0.199375,0.883225,"KANOFF_CREEK"
1966,0.513333333333333,0.67,0.186666666666667,-0.29,4.16333333333333,3.77,2.70333333333333,2.76,0.0958222222222222,11.2548777777778,-0.148866666666667,11.4908,-0.1943,10.4052,0.125066666666667,10.1915666666667,"KANOFF_CREEK"
1967,-1.86333333333333,-0.7175,2.04666666666667,1.71,2.65333333333333,2.4075,-0.716666666666667,-1.91,-3.81362222222222,-1.90155555555556,-3.1863,-5.06786666666667,-1.226925,-4.598325,-1.46848333333333,-1.725375,"KANOFF_CREEK"
1968,1.75666666666667,1.5675,-0.796666666666667,-1.695,-0.11,0.4125,0.483333333333333,-0.265,-1.39947777777778,-0.0531666666666667,-2.97755,0.02915,-2.6569125,-0.1093125,-1.248775,0.199375,"KANOFF_CREEK"
1969,-1.55,-0.7025,2.32666666666667,2.57,0.513333333333333,0.67,0.186666666666667,-0.29,-3.60633333333333,0.0958222222222222,-3.9835,-0.148866666666667,-1.805425,-0.1943,-1.63448333333333,0.125066666666667,"KANOFF_CREEK"
1970,0.283333333333333,0.62,0.343333333333333,-0.3,-1.86333333333333,-0.7175,2.04666666666667,1.71,0.0972777777777778,-3.81362222222222,-0.085,-3.1863,-0.186,-1.226925,0.212866666666667,-1.46848333333333,"KANOFF_CREEK"
1971,1.13333333333333,1.4575,1.55333333333333,1.115,1.75666666666667,1.5675,-0.796666666666667,-1.695,1.76044444444444,-1.39947777777778,1.26366666666667,-2.97755,1.6251125,-2.6569125,2.26398333333333,-1.248775,"KANOFF_CREEK"
1972,-1.48,-1.585,-2.51333333333333,-2.82,-1.55,-0.7025,2.32666666666667,2.57,3.71973333333333,-3.60633333333333,4.1736,-3.9835,4.4697,-1.805425,3.98363333333333,-1.63448333333333,"KANOFF_CREEK"
1973,3.64666666666667,3.9975,5.15,5.2,0.283333333333333,0.62,0.343333333333333,-0.3,18.7803333333333,0.0972777777777778,18.9626666666667,-0.085,20.787,-0.186,20.587125,0.212866666666667,"KANOFF_CREEK"
1974,3.57333333333333,3.72,3.69666666666667,3.465,1.13333333333333,1.4575,1.55333333333333,1.115,13.2094222222222,1.76044444444444,12.3816,1.26366666666667,12.8898,1.6251125,13.7516,2.26398333333333,"KANOFF_CREEK"
1975,1.51333333333333,0.6175,-0.49,0.3,-1.48,-1.585,-2.51333333333333,-2.82,-0.741533333333333,3.71973333333333,0.454,4.1736,0.18525,4.4697,-0.302575,3.98363333333333,"KANOFF_CREEK"
1976,1.89666666666667,0.8925,-2.63333333333333,-2.89,3.64666666666667,3.9975,5.15,5.2,-4.99455555555556,18.7803333333333,-5.48136666666667,18.9626666666667,-2.579325,20.787,-2.35025,20.587125,"KANOFF_CREEK"
1977,-2.61333333333333,-2.83,-3.83,-4.005,3.57333333333333,3.72,3.69666666666667,3.465,10.0090666666667,13.2094222222222,10.4664,12.3816,11.33415,12.8898,10.8389,13.7516,"KANOFF_CREEK"
1978,-1.99333333333333,-0.9475,2.27333333333333,2.315,1.51333333333333,0.6175,-0.49,0.3,-4.53151111111111,-0.741533333333333,-4.61456666666667,0.454,-2.1934625,0.18525,-2.15398333333333,-0.302575,"KANOFF_CREEK"
1979,-0.06,-0.3575,-0.573333333333333,-0.235,1.89666666666667,0.8925,-2.63333333333333,-2.89,0.0344,-4.99455555555556,0.0141,-5.48136666666667,0.0840125,-2.579325,0.204966666666667,-2.35025,"KANOFF_CREEK"
1980,1.25,1.365,2.12,2.325,-2.61333333333333,-2.83,-3.83,-4.005,2.65,10.0090666666667,2.90625,10.4664,3.173625,11.33415,2.8938,10.8389,"KANOFF_CREEK"
1981,-1.9,-1.985,-2.31,-2.345,-1.99333333333333,-0.9475,2.27333333333333,2.315,4.389,-4.53151111111111,4.4555,-4.61456666666667,4.654825,-2.1934625,4.58535,-2.15398333333333,"KANOFF_CREEK"
1982,1.71666666666667,2.4725,4.80333333333333,4.835,-0.06,-0.3575,-0.573333333333333,-0.235,8.24572222222222,0.0344,8.30008333333333,0.0141,11.9545375,0.0840125,11.8762416666667,0.204966666666667,"KANOFF_CREEK"
1983,6.23666666666667,6.4275,8.23333333333333,8.85,1.25,1.365,2.12,2.325,51.3485555555556,2.65,55.1945,2.90625,56.883375,3.173625,52.91975,2.8938,"KANOFF_CREEK"
1984,6.99,6.88,5.21333333333333,4.545,-1.9,-1.985,-2.31,-2.345,36.4412,4.389,31.76955,4.4555,31.2696,4.654825,35.8677333333333,4.58535,"KANOFF_CREEK"
1985,3.09333333333333,2.8725,1.77,1.55,1.71666666666667,2.4725,4.80333333333333,4.835,5.4752,8.24572222222222,4.79466666666667,8.30008333333333,4.452375,11.9545375,5.084325,11.8762416666667,"KANOFF_CREEK"
1986,-1.53,-1.525,1.08,2.375,6.23666666666667,6.4275,8.23333333333333,8.85,-1.6524,51.3485555555556,-3.63375,55.1945,-3.621875,56.883375,-1.647,52.91975,"KANOFF_CREEK"
1987,-1.09,-1.4825,-2.36,-2.21,6.99,6.88,5.21333333333333,4.545,2.5724,36.4412,2.4089,31.76955,3.276325,31.2696,3.4987,35.8677333333333,"KANOFF_CREEK"
1988,-2.99,-2.885,-3.31333333333333,-3.685,3.09333333333333,2.8725,1.77,1.55,9.90686666666667,5.4752,11.01815,4.79466666666667,10.631225,4.452375,9.55896666666667,5.084325,"KANOFF_CREEK"
1989,-3.03666666666667,-3.05,-2.96333333333333,-2.9,-1.53,-1.525,1.08,2.375,8.99865555555555,-1.6524,8.80633333333333,-3.63375,8.845,-3.621875,9.03816666666667,-1.647,"KANOFF_CREEK"
1990,-1.95333333333333,-2.2525,-3.45,-3.6,-1.09,-1.4825,-2.36,-2.21,6.739,2.5724,7.032,2.4089,8.109,3.276325,7.771125,3.4987,"KANOFF_CREEK"
1991,-2.83333333333333,-3.055,-3.20666666666667,-2.95,-2.99,-2.885,-3.31333333333333,-3.685,9.08555555555556,9.90686666666667,8.35833333333333,11.01815,9.01225,10.631225,9.79636666666667,9.55896666666667,"KANOFF_CREEK"
1992,-0.263333333333333,-0.6925,0.266666666666667,1.39,-3.03666666666667,-3.05,-2.96333333333333,-2.9,-0.0702222222222222,8.99865555555555,-0.366033333333333,8.80633333333333,-0.962575,8.845,-0.184666666666667,9.03816666666667,"KANOFF_CREEK"
1993,-1.53333333333333,-0.615,1.95333333333333,1.86,-1.95333333333333,-2.2525,-3.45,-3.6,-2.99511111111111,6.739,-2.852,7.032,-1.1439,8.109,-1.2013,7.771125,"KANOFF_CREEK"
1994,-1.55333333333333,-1.7875,-2.39333333333333,-2.345,-2.83333333333333,-3.055,-3.20666666666667,-2.95,3.71764444444445,9.08555555555556,3.64256666666667,8.35833333333333,4.1916875,9.01225,4.27808333333333,9.79636666666667,"KANOFF_CREEK"
1995,0.613333333333333,1.2975,3.03,2.87,-0.263333333333333,-0.6925,0.266666666666667,1.39,1.8584,-0.0702222222222222,1.76026666666667,-0.366033333333333,3.723825,-0.962575,3.931425,-0.184666666666667,"KANOFF_CREEK"
1996,1.70333333333333,1.7825,2.29333333333333,2.43,-1.53333333333333,-0.615,1.95333333333333,1.86,3.90631111111111,-2.99511111111111,4.1391,-2.852,4.331475,-1.1439,4.08786666666667,-1.2013,"KANOFF_CREEK"
1997,2.91666666666667,3.38,3.32666666666667,2.605,-1.55333333333333,-1.7875,-2.39333333333333,-2.345,9.70277777777778,3.71764444444445,7.59791666666667,3.64256666666667,8.8049,4.1916875,11.2441333333333,4.27808333333333,"KANOFF_CREEK"
1998,0.543333333333333,1.2375,5.03666666666667,5.895,0.613333333333333,1.2975,3.03,2.87,2.73658888888889,1.8584,3.20295,1.76026666666667,7.2950625,3.723825,6.232875,3.931425,"KANOFF_CREEK"
1999,4.38333333333333,4.08,3.71666666666667,3.99,1.70333333333333,1.7825,2.29333333333333,2.43,16.2913888888889,3.90631111111111,17.4895,4.1391,16.2792,4.331475,15.164,4.08786666666667,"KANOFF_CREEK"
2000,0.566666666666667,0.14,0.773333333333333,1.73,2.91666666666667,3.38,3.32666666666667,2.605,0.438222222222222,9.70277777777778,0.980333333333333,7.59791666666667,0.2422,8.8049,0.108266666666667,11.2441333333333,"KANOFF_CREEK"
2001,1.51666666666667,0.675,-1.31666666666667,-1.05,0.543333333333333,1.2375,5.03666666666667,5.895,-1.99694444444444,2.73658888888889,-1.5925,3.20295,-0.70875,7.2950625,-0.88875,6.232875,"KANOFF_CREEK"
2002,0.2,0.7,1.52,1.18,4.38333333333333,4.08,3.71666666666667,3.99,0.304,16.2913888888889,0.236,17.4895,0.826,16.2792,1.064,15.164,"KANOFF_CREEK"
2003,-0.673333333333333,-0.0699999999999999,0.283333333333333,-0.445,0.566666666666667,0.14,0.773333333333333,1.73,-0.190777777777778,0.438222222222222,0.299633333333333,0.980333333333333,0.03115,0.2422,-0.0198333333333333,0.108266666666667,"KANOFF_CREEK"
2004,-0.603333333333333,-0.5525,-0.09,0.065,1.51666666666667,0.675,-1.31666666666667,-1.05,0.0543,-1.99694444444444,-0.0392166666666667,-1.5925,-0.0359125,-0.70875,0.049725,-0.88875,"KANOFF_CREEK"
2005,-0.393333333333333,0.1075,1.67666666666667,1.71,0.2,0.7,1.52,1.18,-0.659488888888889,0.304,-0.6726,0.236,0.183825,0.826,0.180241666666667,1.064,"KANOFF_CREEK"
2006,2.35333333333333,2.465,3.02,3.13,-0.673333333333333,-0.0699999999999999,0.283333333333333,-0.445,7.10706666666667,-0.190777777777778,7.36593333333333,0.299633333333333,7.71545,0.03115,7.4443,-0.0198333333333333,"KANOFF_CREEK"
2007,1.36333333333333,0.4575,-2.11,-2.035,-0.603333333333333,-0.5525,-0.09,0.065,-2.87663333333333,0.0543,-2.77438333333333,-0.0392166666666667,-0.9310125,-0.0359125,-0.965325,0.049725,"KANOFF_CREEK"
2008,-2.46,-2.1825,-1.69,-1.86,-0.393333333333333,0.1075,1.67666666666667,1.71,4.1574,-0.659488888888889,4.5756,-0.6726,4.05945,0.183825,3.688425,0.180241666666667,"KANOFF_CREEK"
2009,-3.83,-3.9475,-3.22,-2.68,2.35333333333333,2.465,3.02,3.13,12.3326,7.10706666666667,10.2644,7.36593333333333,10.5793,7.71545,12.71095,7.4443,"KANOFF_CREEK"
2010,0.5,0.49,0.0566666666666667,-0.145,1.36333333333333,0.4575,-2.11,-2.035,0.0283333333333333,-2.87663333333333,-0.0725,-2.77438333333333,-0.07105,-0.9310125,0.0277666666666667,-0.965325,"KANOFF_CREEK"
2011,2.77666666666667,2.56,2.64666666666667,3.015,-2.46,-2.1825,-1.69,-1.86,7.34891111111111,4.1574,8.37165,4.5756,7.7184,4.05945,6.77546666666667,3.688425,"KANOFF_CREEK"
2012,4.27333333333333,3.73,1.74666666666667,1.57,-3.83,-3.9475,-3.22,-2.68,7.46408888888889,12.3326,6.70913333333333,10.2644,5.8561,10.5793,6.51506666666667,12.71095,"KANOFF_CREEK"
2013,2.53666666666667,2.4725,0.356666666666667,-0.605,0.5,0.49,0.0566666666666667,-0.145,0.904744444444444,0.0283333333333333,-1.53468333333333,-0.0725,-1.4958625,-0.07105,0.881858333333333,0.0277666666666667,"KANOFF_CREEK"
